,CodeN,Titulo,Area,Horas,DataInicio,DataFim,code_fina,costo
35,Admm1116,Desenvolvimento de tecnologias para a produção sustentável de alimentos,Agricultura,654,7/11/2018,31/12/2018,A,89309
36,AeD837,Estudo sobre a influência das redes sociais na formação da opinião pública,Comunicação,1142,9/7/2019,27/10/2019,A,66841
37,Bapp4808,Análise do impacto de programas de educação financeira na redução do endividamento,Economia,306,18/6/2020,20/7/2020,B,22401
38,AdO2960,Desenvolvimento de tecnologias para a gestão de resíduos líquidos,Meio Ambiente,491,7/6/2019,31/7/2019,A,60536
39,BeW2792,Estudo sobre a relação entre desigualdade social e acesso à justiça,Sociologia,1029,6/5/2022,15/8/2022,B,15107
40,Aakk1012,Análise da eficácia de programas de prevenção ao tabagismo,Saúde Pública,826,26/6/2019,4/11/2019,A,68982
41,Cdll1679,Desenvolvimento de tecnologias para a produção agroecológica,Agricultura,1053,6/7/2018,18/10/2018,C,3365
42,BeH231,Estudo sobre o impacto da migração na economia local,Demografia,1002,24/9/2021,26/12/2021,B,19861
43,Baaa337,Análise da relação entre poluição luminosa e qualidade de vida,Urbanização,750,27/7/2019,19/9/2019,B,45608
44,Adhh3563,Desenvolvimento de tecnologias para o transporte coletivo não poluente,Transporte,354,25/9/2022,17/11/2022,A,93928
45,Cemm4951,Estudo sobre a eficácia de programas de incentivo ao empreendedorismo,Economia,877,11/1/2019,30/2/2019,C,4348
46,Bass1472,Análise da relação entre poluição da água e doenças gastrointestinais,Saúde,342,8/7/2022,24/9/2022,B,19173
47,CdD1290,Desenvolvimento de tecnologias para a gestão de bacias hidrográficas,Recursos Hídricos,1100,30/4/2020,1/9/2020,C,6930
48,CeT1303,Estudo sobre o impacto do turismo rural na economia local,Economia,982,6/11/2021,5/3/2022,C,9522
49,BaV1288,Análise da influência da tecnologia na aprendizagem,Educação,500,9/6/2021,1/11/2021,B,17660
50,CeO2593,Estudo sobre a relação entre planejamento urbano e qualidade de vida,Urbanização,462,18/2/2021,15/4/2021,C,3777
51,CaP3024,Análise da eficácia de programas de prevenção ao bullying escolar,Educação,1014,16/5/2020,17/9/2020,C,8195
52,AdW555,Desenvolvimento de tecnologias para a recuperação de áreas degradadas,Meio Ambiente,621,14/2/2020,4/3/2020,A,59788
53,Cejj891,Estudo sobre o impacto da globalização na diversidade cultural,Cultura,1067,26/6/2021,19/7/2021,C,5496
54,CaN3310,Análise da relação entre sedentarismo e doenças crônicas,Saúde,1122,29/8/2020,12/1/2021,C,9148
55,CdW1930,Desenvolvimento de tecnologias para a agricultura de precisão,Agricultura,933,7/11/2020,20/1/2021,C,9883
56,Cett3369,Estudo sobre a influência da publicidade na formação do consumo infantil,Comunicação,1075,2/10/2021,11/12/2021,C,2072
57,Aamm4744,Análise do impacto de programas de microcrédito na redução da pobreza,Economia,1175,2/12/2018,27/5/2019,A,73840
58,Cduu2538,Desenvolvimento de tecnologias para a gestão integrada de resíduos,Meio Ambiente,1429,20/10/2018,12/2/2019,C,7736
59,AeB2212,Estudo sobre a relação entre desigualdade social e acesso à saúde,Sociologia,788,4/6/2018,8/8/2018,A,96460
60,BaO2407,Análise da eficácia de programas de prevenção ao alcoolismo,Saúde Pública,471,3/3/2020,27/6/2020,B,39620
61,Adss690,Desenvolvimento de tecnologias para a produção agroflorestal,Agricultura,537,12/5/2019,18/10/2019,A,99554
62,Cexx3050,Estudo sobre o impacto da urbanização na biodiversidade local,Urbanização,1364,12/6/2021,15/7/2021,C,7313
63,Caee3399,Análise da relação entre poluição visual e qualidade de vida,Urbanização,668,13/2/2022,10/5/2022,C,9094
64,Cdcc223,Desenvolvimento de tecnologias para o transporte coletivo eficiente,Transporte,1147,7/10/2022,24/3/2023,C,3752
67,Bpss2143,Promoção da saúde e prevenção de doenças em comunidades carentes,Saúde,970,1/12/2018,20/5/2019,B,21316
68,Bevv4860,Educação inclusiva para crianças em situação de vulnerabilidade,Educação,1197,30/2/2019,26/3/2019,B,37833
70,Cguu2234,Garantia de acesso à água potável e saneamento básico para todos,Saneamento Básico,970,21/1/2019,31/3/2019,C,1797
71,Adii1060,Desenvolvimento de fontes de energia renovável e acessível,Energia Renovável,616,5/1/2022,12/5/2022,A,81661
72,Binn1213,Inclusão de jovens no mercado de trabalho através do empreendedorismo,Empreendedorismo,541,25/5/2020,29/8/2020,B,37449
73,Cdqq1826,Desenvolvimento de tecnologias inovadoras para a indústria sustentável,Indústria Sustentável,1082,23/8/2018,6/12/2018,C,4784
74,Craa3681,Redução das desigualdades sociais através de políticas públicas,Políticas Públicas,938,8/4/2022,19/8/2022,C,3460
75,BpQ1702,Planejamento urbano para cidades mais sustentáveis e inclusivas,Planejamento Urbano,521,9/7/2020,29/11/2020,B,48447
76,AcA2270,Conscientização sobre o consumo consciente e produção responsável,Consumo Consciente,1441,16/3/2022,27/5/2022,A,83485
77,Baqq4116,Ação contra a mudança climática através do desenvolvimento de tecnologias verdes,Mudança Climática,596,2/10/2022,21/11/2022,B,12808
78,BcM1773,Conservação da biodiversidade marinha e costeira,Conservação Marinha,1257,28/12/2019,2/1/2020,B,34909
79,CcG402,Conservação da biodiversidade terrestre e florestal,Conservação Terrestre,998,28/12/2019,17/3/2020,C,8298
80,Cptt452,Promoção da justiça social e acesso à justiça para todos,Justiça Social,685,19/9/2021,23/1/2022,C,9252
82,AaD3128,Análise da relação entre agricultura sustentável e segurança alimentar,Agricultura Sustentável,665,7/3/2020,31/5/2020,A,64989
83,CpW4428,Promoção da saúde mental em comunidades carentes,Saúde,409,2/4/2020,25/5/2020,C,4923
84,Ceza1947,Educação empreendedora para jovens em situação de vulnerabilidade,Educação,1296,12/10/2021,4/11/2021,C,7837
85,ApT3041,Promoção da igualdade de gênero e combate à violência contra a mulher,Inclusão,885,16/8/2019,22/10/2019,A,77133
88,Biuu252,Inclusão de pessoas com deficiência no mercado de trabalho,Inclusão,1147,15/8/2018,14/1/2019,B,20225
89,Adcc1472,Desenvolvimento de tecnologias inovadoras para a indústria 4.0,Tecnologia,403,3/8/2020,26/12/2020,A,66526
90,BrQ2712,Redução das desigualdades regionais através de políticas públicas,Políticas Públicas,724,1/11/2018,2/12/2018,B,42843
94,BcU2034,Conservação da biodiversidade marinha e desenvolvimento do turismo sustentável,Turismo Sustentável,583,29/8/2018,19/1/2019,B,25429
95,BcK3463,Conservação da biodiversidade terrestre e desenvolvimento do ecoturismo,Ecoturismo,1133,28/2/2019,22/5/2019,B,10675
98,AdI734,Desenvolvimento de programas para a inclusão social de migrantes,Inclusão,461,27/8/2022,4/10/2022,A,66562
100,CpS4451,Promoção da saúde e prevenção de doenças em comunidades migrantes,Saúde,864,30/4/2020,27/7/2020,C,1754
101,Beii2145,Educação inclusiva para crianças migrantes,Educação,1204,21/5/2020,9/8/2020,B,20582
103,Bgll3838,Garantia de acesso à água potável e saneamento básico para comunidades migrantes,Saneamento Básico,1083,25/3/2021,4/6/2021,B,20411
104,Bdss845,Desenvolvimento de fontes de energia renovável e acessível para comunidades migrantes,Energia Renovável,1237,28/7/2022,11/11/2022,B,19869
105,Ciqq1307,Inclusão de migrantes no mercado de trabalho através do empreendedorismo,Empreendedorismo,1340,15/2/2019,12/7/2019,C,4007
107,Arii3645,Redução das desigualdades sociais entre migrantes e não-migrantes através de políticas públicas,Políticas Públicas,378,26/1/2020,30/5/2020,A,68489
108,Apuu1761,Promoção da igualdade racial e combate ao racismo,Direitos Humanos,803,9/4/2022,26/6/2022,A,72041
109,Cdpp2990,Desenvolvimento de novas tecnologias para energia renovável,Energia,1227,8/12/2021,12/1/2022,C,9332
110,BeG2922,Estudo do impacto das mudanças climáticas na biodiversidade,Meio Ambiente,1292,21/1/2019,13/5/2019,B,26642
111,Bdss1917,Desenvolvimento de novos medicamentos para doenças tropicais,Saúde,490,15/3/2018,23/4/2018,B,11127
112,AaJ3082,Análise do impacto socioeconômico da urbanização,Sociologia,1455,14/2/2020,9/7/2020,A,90595
113,Bett2878,Estudo da influência da dieta na prevenção de doenças crônicas,Nutrição,491,24/2/2022,7/3/2022,B,28424
114,Cdyy1365,Desenvolvimento de novas tecnologias para agricultura sustentável,Agricultura,482,2/9/2019,11/12/2019,C,3601
116,Bess1157,Estudo da relação entre educação e desenvolvimento econômico,Educação,1245,16/1/2018,18/2/2018,B,15445
117,Adyy2463,Desenvolvimento de novas tecnologias para transporte sustentável,Transporte,989,29/1/2021,29/3/2021,A,96894
118,Bpaa1630,Promoção da igualdade racial e combate ao racismo na periferia,Direitos Humanos,1267,8/9/2021,14/2/2022,B,33915
119,Bcmm318,Conscientização sobre o consumo consciente e produção responsável em comunidades migrantes,Consumo Consciente,478,16/12/2019,9/2/2020,B,10386
120,BaV4802,Ação contra a mudança climática através do desenvolvimento de tecnologias verdes em áreas com alta concentração de migrantes,Mudança Climática,376,30/5/2021,30/7/2021,B,49064
121,Acll4148,Conservação da biodiversidade marinha e costeira em áreas com alta concentração de migrantes,Conservação Marinha,1497,5/12/2020,3/3/2021,A,79680
122,CcK4409,Conservação da biodiversidade terrestre e florestal em áreas com alta concentração de migrantes,Conservação Terrestre,1451,20/10/2018,14/11/2018,C,2754
123,BpD3594,Promoção da justiça social e acesso à justiça para migrantes,Justiça Social,1299,12/11/2020,6/1/2021,B,34221
127,Bpxx1011,Promoção da saúde mental em comunidades migrantes,Saúde Mental,757,3/1/2021,3/3/2021,B,37573
130,BgN4667,Garantia de acesso à moradia digna para migrantes,Moradia Digna,817,23/4/2019,13/7/2019,B,26320
132,CiS1011,Inclusão de migrantes idosos no mercado de trabalho,Inclusão no Mercado de Trabalho,306,6/11/2020,22/1/2021,C,4568
138,Bchh4376,Conservação da biodiversidade marinha e desenvolvimento do turismo sustentável em áreas com alta concentração de migrantes,Turismo Sustentável,366,1/11/2021,19/3/2022,B,39779
139,Acff451,Conservação da biodiversidade terrestre e desenvolvimento do ecoturismo em áreas com alta concentração de migrantes,Ecoturismo,687,5/1/2018,9/3/2018,A,54349
142,Bdza146,Desenvolvimento de programas para a inclusão social de comunidades quilombolas,Inclusão,1332,22/11/2021,10/2/2022,B,37028
144,Cpss3289,Promoção da saúde e prevenção de doenças em comunidades quilombolas,Saúde Pública,875,27/10/2022,15/3/2023,C,3606
145,AeS1135,Educação inclusiva para crianças quilombolas,Educação,632,25/4/2020,1/6/2020,A,68549
146,Cpii2940,Promoção da igualdade de gênero e empoderamento das mulheres quilombolas,Inclusão,533,12/12/2020,9/3/2021,C,8817
147,Agxx1344,Garantia de acesso à água potável e saneamento básico para comunidades quilombolas,Saneamento Básico,1326,24/12/2018,21/4/2019,A,87443
148,Bdab348,Desenvolvimento de fontes de energia renovável e acessível para comunidades quilombolas,Energia Renovável,757,8/9/2019,10/10/2019,B,35943
149,Bigg3196,Inclusão de jovens quilombolas no mercado de trabalho através do empreendedorismo,Empreendedorismo,1072,4/1/2018,14/6/2018,B,49973
150,BdL2053,Desenvolvimento de tecnologias inovadoras para a indústria sustentável em áreas quilombolas,Indústria Sustentável,443,13/10/2018,7/12/2018,B,25450
151,CrE4180,Redução das desigualdades sociais entre quilombolas e não-quilombolas através de políticas públicas,Políticas Públicas,895,15/10/2022,4/3/2023,C,2214
152,Cpcc1452,Planejamento urbano para cidades mais inclusivas para comunidades quilombolas,Planejamento Urbano,916,1/9/2021,1/2/2022,C,3185
153,BcX4549,Conscientização sobre o consumo consciente e produção responsável em comunidades quilombolas,Consumo Consciente,1385,17/10/2021,6/2/2022,B,22730
154,BaG594,Ação contra a mudança climática através do desenvolvimento de tecnologias verdes em áreas quilombolas,Mudança Climática,1484,24/2/2020,2/4/2020,B,37512
155,Bckk3664,Conservação da biodiversidade marinha e costeira em áreas quilombolas,Conservação Marinha,750,22/11/2020,13/12/2020,B,34147
156,Ccvv4150,Conservação da biodiversidade terrestre e florestal em áreas quilombolas,Conservação Terrestre,619,2/1/2018,17/3/2018,C,8193
157,Bpvv2002,Promoção da justiça social e acesso à justiça para comunidades quilombolas,Justiça Social,1109,28/10/2021,13/2/2022,B,17848
158,AdS3568,Desenvolvimento de parcerias para a promoção do desenvolvimento sustentável em áreas quilombolas,Políticas Públicas,968,4/1/2021,25/4/2021,A,89768
160,Aaaa4721,Análise da relação entre discriminação e saúde mental em pessoas LGBTQIA+,Saúde Mental,566,30/11/2018,8/2/2019,A,93408
161,Apss963,Promoção da saúde e prevenção de doenças em comunidades LGBTQIA+,Saúde Pública,1058,16/4/2020,25/7/2020,A,90623
162,BeA2141,Educação inclusiva para jovens LGBTQIA+,Educação,910,8/8/2019,28/12/2019,B,12690
163,Cpgg2608,Promoção da igualdade de gênero e combate à discriminação contra pessoas LGBTQIA+,Inclusão,1165,13/8/2018,11/12/2018,C,1620
164,CgN1989,Garantia de acesso à moradia digna para pessoas LGBTQIA+,Moradia Digna,1403,5/2/2021,8/4/2021,C,7365
165,Cdtt1021,Desenvolvimento de tecnologias para a inclusão social de pessoas LGBTQIA+,Inclusão,1048,7/6/2018,9/7/2018,C,3898
166,AiJ1870,Inclusão de pessoas LGBTQIA+ no mercado de trabalho,Inclusão,823,27/3/2022,17/7/2022,A,69874
167,Bdyy2848,Desenvolvimento de políticas públicas para a promoção dos direitos das pessoas LGBTQIA+,Políticas Públicas,997,13/6/2020,24/9/2020,B,28938
168,Crqq3408,Redução das desigualdades sociais entre pessoas LGBTQIA+ e não-LGBTQIA+ através de políticas públicas,Políticas Públicas,1471,11/8/2019,12/9/2019,C,5452
169,Bptt1951,Planejamento urbano para cidades mais inclusivas para pessoas LGBTQIA+,Planejamento Urbano,347,3/3/2021,21/6/2021,B,40282
171,ApV2154,Promoção da justiça social e combate à discriminação contra pessoas LGBTQIA+,Justiça Social,569,16/2/2022,24/5/2022,A,58090
172,Bdab1571,Desenvolvimento de parcerias para a promoção dos direitos das pessoas LGBTQIA+,Inclusão,884,16/11/2019,19/3/2020,B,41326
174,BpX1316,Promoção da saúde sexual e reprodutiva em comunidades LGBTQIA+,Saúde,599,7/3/2022,16/4/2022,B,33443
175,Bemm985,Educação em direitos humanos para a promoção da igualdade de gênero e diversidade sexual,Educação,1383,30/6/2020,16/7/2020,B,22770
177,Adoo4865,Desenvolvimento de programas para a integração cultural de migrantes LGBTQIA+,Inclusão,762,11/3/2021,28/5/2021,A,66765
178,Aavv2672,Análise da relação entre migração e discriminação contra pessoas LGBTQIA+,Inclusão,828,21/12/2019,2/5/2020,A,52019
179,BpN3301,Promoção da saúde mental em comunidades migrantes LGBTQIA+,Saúde Mental,1478,30/2/2020,24/5/2020,B,11644
180,Bemm2542,Educação empreendedora para jovens migrantes LGBTQIA+,Educação ,1056,16/4/2018,17/5/2018,B,15558
181,Cpss4819,Promoção da igualdade de gênero e combate à violência contra a mulher migrante LGBTQIA+,Inclusão,1258,13/7/2019,18/10/2019,C,8890
182,Bgkk3109,Garantia de acesso à água potável e saneamento básico para comunidades migrantes LGBTQIA+,Saneamento Básico,334,14/6/2018,24/8/2018,B,33657
183,AdM2429,Desenvolvimento de fontes de energia renovável e acessível para comunidades migrantes LGBTQIA+,Energia Renovável,874,11/2/2020,12/6/2020,A,95697
184,AiF4452,Inclusão de migrantes idosos LGBTQIA+ no mercado de trabalho,Inclusão no Mercado de Trabalho,978,7/11/2019,17/4/2020,A,53466
185,BdK444,Desenvolvimento de tecnologias inovadoras para a indústria 4.0 em áreas com alta concentração de migrantes LGBTQIA+,Tecnologia,677,29/11/2020,8/12/2020,B,37826
186,Brkk1548,Redução das desigualdades regionais entre áreas com alta e baixa concentração de migrantes LGBTQIA+ através de políticas públicas,Inclusão,538,4/3/2022,4/4/2022,B,41540
187,BpK2570,Planejamento urbano para cidades inteligentes e inclusivas para migrantes LGBTQIA+,Tecnologia,1334,29/10/2020,3/1/2021,B,14106
190,Apuu4702,Promoção da saúde e prevenção de doenças em crianças,Saúde,1011,7/8/2019,29/12/2019,A,95479
191,Beww4651,Educação inclusiva para crianças em situação de vulnerabilidade,Educação,1219,23/2/2021,2/4/2021,B,27923
192,Cpvv2818,Promoção da igualdade de gênero e combate à discriminação contra crianças,Inclusão,645,21/9/2022,8/1/2023,C,4262
193,Agmm2652,Garantia de acesso à educação de qualidade para todas as crianças,Educação,463,2/4/2019,31/7/2019,A,92912
194,Adnn1145,Desenvolvimento de programas para a prevenção do trabalho infantil,Políticas Públicas,595,23/4/2018,20/9/2018,A,72818
195,Aiyy4310,Inclusão de crianças com deficiência na escola e na sociedade,Inclusão,1032,3/5/2019,22/8/2019,A,59483
196,Cdqq4251,Desenvolvimento de políticas públicas para a promoção dos direitos das crianças,Políticas Públicas,410,4/5/2022,23/9/2022,C,3317
197,Crcc856,Redução das desigualdades sociais entre crianças através de políticas públicas,Políticas Públicas,1296,12/1/2022,7/4/2022,C,6487
199,Cdpp4536,Desenvolvimento de programas para a inclusão social e econômica de pessoas em situação de pobreza,Inclusão,984,19/1/2018,13/5/2018,C,3112
200,AaG1015,Análise da relação entre educação e mobilidade social em comunidades carentes,Educação ,1491,3/2/2020,9/7/2020,A,61595
202,Behh103,Educação financeira para a promoção da inclusão econômica,Educação ,961,9/7/2019,10/9/2019,B,14610
203,Cpqq1410,Promoção da igualdade de gênero e empoderamento das mulheres em situação de pobreza,Inclusão,621,8/6/2019,12/9/2019,C,1149
204,AgD4514,Garantia de acesso à moradia digna para pessoas em situação de pobreza,Moradia Digna,905,5/8/2020,17/12/2020,A,85318
206,Ciyy2520,Inclusão de pessoas em situação de pobreza no mercado de trabalho através do empreendedorismo,Empreendedorismo,844,25/8/2018,23/9/2018,C,1661
207,AdG3332,Desenvolvimento de políticas públicas para a promoção da igualdade social,Políticas Públicas,818,10/12/2018,8/1/2019,A,72913
208,Arll780,Redução das desigualdades sociais através de políticas públicas,Políticas Públicas,1240,15/12/2020,30/5/2021,A,71397
209,BpY356,Planejamento urbano para cidades mais inclusivas para pessoas em situação de pobreza,Planejamento Urbano,436,3/10/2019,21/3/2020,B,15802
211,Apuu3221,Promoção da justiça social e combate à exclusão social,Justiça Social,1335,19/3/2021,16/7/2021,A,57022
214,ApD3635,Promoção da saúde mental em comunidades em situação de pobreza,Saúde Mental,1050,22/6/2018,15/9/2018,A,62348
216,Agnn436,Garantia de acesso à água potável e saneamento básico para comunidades carentes,Saneamento Básico,1308,29/5/2022,11/10/2022,A,74612
217,CdL3910,Desenvolvimento de fontes de energia renovável e acessível para comunidades carentes,Energia Renovável,1470,16/4/2021,20/5/2021,C,4969
218,BiK2243,Inclusão de idosos em situação de pobreza no mercado de trabalho,Inclusão no Mercado de Trabalho,944,19/2/2020,6/6/2020,B,17628
219,AdT1206,Desenvolvimento de tecnologias inovadoras para a indústria sustentável em áreas carentes,Indústria Sustentável,1312,9/2/2022,9/3/2022,A,70628
221,Apab2158,Planejamento urbano para cidades inteligentes e inclusivas para pessoas em situação de pobreza,Tecnologia,519,6/1/2022,28/4/2022,A,91240
223,Aaxx2906,Análise da relação entre agricultura sustentável e segurança alimentar,Agricultura Sustentável,1400,19/11/2020,28/2/2021,A,71685
224,CpT3438,Promoção da saúde e prevenção de doenças relacionadas à má nutrição,Saúde Pública,625,29/6/2018,5/9/2018,C,9051
227,Airr4481,Inclusão de pequenos agricultores no mercado através do empreendedorismo,Empreendedorismo,593,18/10/2019,4/12/2019,A,52767
228,Adii3158,Desenvolvimento de políticas públicas para a promoção da agricultura familiar,Políticas Públicas,534,11/8/2019,11/12/2019,A,97152
229,ArZ2190,Redução das desigualdades sociais através do acesso à alimentação saudável,Políticas Públicas,418,3/10/2020,23/11/2020,A,88179
230,Cpww180,Planejamento urbano para cidades mais inclusivas para a agricultura urbana,Planejamento Urbano,401,15/2/2021,17/5/2021,C,9738
231,CcT1158,Conscientização sobre o consumo consciente e desperdício de alimentos,Consumo Consciente,1294,17/2/2018,26/4/2018,C,5992
232,Cpnn4840,Promoção da justiça social e combate à exclusão social através do acesso à alimentação saudável,Justiça Social,889,14/2/2022,28/3/2022,C,5900
234,Cdrr2112,Desenvolvimento de programas para a promoção da saúde e prevenção de doenças,Saúde,471,18/10/2020,5/1/2021,C,1384
235,Caoo1747,Análise da relação entre atividade física e saúde mental,Saúde,791,22/2/2022,4/7/2022,C,4165
236,CpY4166,Promoção da saúde sexual e reprodutiva,Saúde,1415,9/11/2022,15/2/2023,C,3967
237,AeF3778,Educação em saúde para a promoção da qualidade de vida,Educação,991,20/2/2022,7/3/2022,A,97823
238,AdN3685,Desenvolvimento de tecnologias para a prevenção e tratamento de doenças crônicas,Saúde,1058,9/4/2020,1/5/2020,A,65731
239,Cicc3358,Inclusão de pessoas com deficiência na sociedade através do esporte,Inclusão,1259,14/4/2019,12/7/2019,C,7041
240,BdX3032,Desenvolvimento de políticas públicas para a promoção da saúde e bem-estar,Políticas Públicas,694,25/1/2022,5/6/2022,B,45503
241,Adnn3886,Desenvolvimento de programas para a promoção da educação inclusiva,Educação,1154,19/9/2021,29/2/2022,A,59683
242,CaJ2746,Análise da relação entre educação e mobilidade social,Educação,926,22/8/2022,7/11/2022,C,6850
243,ApW4262,Promoção da educação em direitos humanos,Educação,523,22/12/2021,4/1/2022,A,63304
244,BeR3838,Educação financeira para a promoção da inclusão econômica,Educação,886,12/9/2021,27/11/2021,B,17578
245,Bdss1512,Desenvolvimento de tecnologias para a educação a distância,Educação,421,14/6/2022,15/11/2022,B,14533
246,AiE618,Inclusão de pessoas com deficiência na escola e na sociedade,Inclusão,742,3/1/2022,11/5/2022,A,81590
247,AdV3563,Desenvolvimento de políticas públicas para a promoção da educação de qualidade,Políticas Públicas,875,21/6/2019,17/10/2019,A,91957
248,CrG2257,Redução das desigualdades educacionais através de políticas públicas,Políticas Públicas,858,5/1/2021,24/4/2021,C,7036
249,Cpyy4913,Planejamento urbano para cidades mais inclusivas para a educação,Planejamento Urbano,948,19/4/2021,30/9/2021,C,2220
250,BcE3100,Conscientização sobre a importância da educação para o desenvolvimento sustentável,Educação,692,26/9/2020,25/2/2021,B,21803
251,Apff3525,Promoção da justiça social e combate à exclusão social através da educação,Justiça Social,872,1/12/2020,26/2/2021,A,99549
252,BdG3087,Desenvolvimento de parcerias para a promoção da educação de qualidade,Educação,1314,26/9/2020,25/10/2020,B,21046
253,AeT1961,Educação empreendedora para jovens em situação de vulnerabilidade,Educação,1157,9/11/2018,17/1/2019,A,99633
254,BeP3062,Educação ambiental para a promoção do desenvolvimento sustentável,Educação,1283,17/10/2018,12/1/2019,B,18159
255,Cerr118,Educação em saúde para a promoção da qualidade de vida,Educação,1154,27/5/2020,1/8/2020,C,1014
256,BeO4415,Educação em direitos humanos para a promoção da igualdade de gênero e diversidade sexual,Educação,704,28/9/2018,23/1/2019,B,15291
257,Bedd4418,Educação alimentar para a promoção da alimentação saudável,Educação,1448,16/2/2018,11/3/2018,B,29126
258,Aeee3166,Educação em cidadania para a promoção da participação social,Educação ,353,27/3/2018,12/7/2018,A,84680
259,Aeww1802,Educação em tecnologia para a inclusão digital,Educação,1146,27/11/2020,15/4/2021,A,79899
263,CpX4080,Promoção da igualdade racial e combate ao racismo,Direitos Humanos,873,26/1/2019,27/6/2019,C,3908
264,Bdll4186,Desenvolvimento de políticas públicas para a redução da pobreza,Sociologia,1232,4/12/2020,8/3/2021,B,14467
265,Bmaa3414,Melhoria da qualidade do ensino público,Educação,864,30/11/2022,10/12/2022,B,43566
266,Cpcc1860,Promoção da saúde pública e prevenção de doenças,Saúde,901,8/9/2020,23/10/2020,C,4659
267,CdC4773,Desenvolvimento de infraestrutura de transporte sustentável,Transporte,1046,2/2/2020,23/6/2020,C,8034
268,CpR1058,Preservação da Amazônia e combate ao desmatamento,Meio Ambiente,1225,17/2/2020,19/4/2020,C,2596
