,Titulo,Area
6,Impacts of Anthropogenic Disturbances on Marine Food Webs,Impactos de perturbações antropogênicas em cadeias alimentares marinhas
7,Conservation of Global Biodiversity Hotspots,Conservação de hotspots de biodiversidade global
8,Global Change Biology and Ecosystem Services,Biologia de mudanças globais e serviços ecossistêmicos
9,Biodiversity Informatics: From Data to Understanding,Informática de biodiversidade: da coleta de dados à compreensão
10,Tropical Forest Carbon Dynamics and Climate Change Mitigation,Dinâmica de carbono em florestas tropicais e mitigação das mudanças climáticas
11,Biodiversity and Ecosystem Functioning in Arid Ecosystems,Biodiversidade e funcionamento de ecossistemas áridos
12,Marine Conservation Biology: Advancing Solutions to Global Challenges,Biologia para conservação marinha: avançando soluções para desafios globais
13,Genetic and Molecular Approaches to Conservation Biology,Abordagens genéticas e moleculares em biologia da conservação
14,Ecological Effects of Invasive Alien Species on Native Ecosystems,Efeitos ecológicos de espécies invasoras em ecossistemas nativos
15,Coastal Ecosystem Management at the Land-Water Interface,Gestão de ecossistemas costeiros na interface terra-água
16,Spatial Analysis of Global Biodiversity Hotspots,Análise espacial de hotspots de biodiversidade globais
17,Tropical Forest Fragmentation and Biodiversity Conservation,Fragmentação de florestas tropicais e conservação da biodiversidade
18,Microbial Ecology and Evolution in Soil Ecosystems,Ecologia microbiana e evolução em ecossistemas de solo
19,Applied Biogeography for Ecosystem Management,Biogeografia aplicada para gestão de ecossistemas
20,Marine Ecosystem-Based Management for Sustainable Fisheries,Gestão de ecossistemas marinhos baseada em ecossistema para pescas sustentáveis
21,Global Patterns of Species Richness and Biogeography,Padrões globais de riqueza de espécies e biogeografia
22,Climate Change and Ecosystem Services of Terrestrial and Aquatic Ecosystems,Mudanças ambientais e serviços ecossistêmicos de ecossistemas terrestres e aquáticos
23,Restoration Ecology: Theory and Practice for the Twenty-First Century,Ecologia de restauração: teoria e prática para o século XXI
24,"Evolutionary Responses to Environmental Change: Adaptation, Plasticity, and Phenotypic Selection","Respostas evolutivas às mudanças ambientais: adaptação, plasticidade e seleção fenotípica"
25,Conservation Genetics and Population Biology,Genética e biologia populacional para conservação
26,Biodiversity and Ecosystem Functioning in Grasslands,Biodiversidade e funcionamento de ecossistemas de pastagens
27,Spatial Ecology and Biodiversity Conservation,Ecologia espacial e conservação da biodiversidade
28,Coral Reef Ecology and Conservation,Ecologia e conservação de recifes de corais
29,Wildlife Ecology and Conservation in Tropical Ecosystems,Ecologia e conservação da vida selvagem em ecossistemas tropicais
0,Estudo da biodiversidade da Amazônia,Biologia
1,Desenvolvimento de materiais ecológicos,Química
2,Estudo de efeitos climáticos,Geografia
3,Exploração de novos planetas habitáveis,Astronomia
4,Análise de comportamento animal,Biologia
5,Investigação de novas energias renováveis,Engenharia
6,Estudo da anatomia humana,Medicina
7,Desenvolvimento de novos medicamentos,Farmacologia
8,Análise de dados genéticos,Genética
9,Estudo da evolução humana,Antropologia
10,Desenvolvimento de inteligência artificial,Ciência da Computação
11,Estudo de culturas pré-históricas,Arqueologia
12,Análise da dinâmica dos oceanos,Oceanografia
13,Investigação de novos materiais para construção,Engenharia
14,Estudo de novas fontes de energia,Física
15,Análise de dados de comportamento de mercado,Economia
16,Estudo da origem do universo,Cosmologia
17,Desenvolvimento de tecnologia de transporte sustentável,Engenharia
18,Estudo de patologias cerebrais,Neurociência
19,Investigação de novas formas de comunicação,Ciência da Comunicação
20,Estudo de processos de envelhecimento,Gerontologia
21,Desenvolvimento de novas técnicas cirúrgicas,Medicina
22,Análise de dados de impacto ambiental,Meio Ambiente
23,Estudo de comportamentos sociais,Sociologia
24,Investigação de novos métodos de aprendizagem,Psicologia
25,Estudo de tecnologia de reconhecimento facial,Ciência da Computação
26,Desenvolvimento de novos alimentos funcionais,Nutrição
27,Análise de dados de mercado financeiro,Economia
28,Estudo de processos de inteligência e cognição,Psicologia
0,Estudo da biodiversidade da Amazônia,Biologia
1,Desenvolvimento de materiais ecológicos,Química
2,Estudo de efeitos climáticos,Geografia
3,Exploração de novos planetas habitáveis,Astronomia
4,Análise de comportamento animal,Biologia
5,Investigação de novas energias renováveis,Engenharia
6,Estudo da anatomia humana,Medicina
7,Desenvolvimento de novos medicamentos,Farmacologia
8,Análise de dados genéticos,Genética
9,Estudo da evolução humana,Antropologia
10,Desenvolvimento de inteligência artificial,Ciência da Computação
11,Estudo de culturas pré-históricas,Arqueologia
12,Análise da dinâmica dos oceanos,Oceanografia
13,Investigação de novos materiais para construção,Engenharia
14,Estudo de novas fontes de energia,Física
15,Análise de dados de comportamento de mercado,Economia
16,Estudo da origem do universo,Cosmologia
17,Desenvolvimento de tecnologia de transporte sustentável,Engenharia
18,Estudo de patologias cerebrais,Neurociência
19,Investigação de novas formas de comunicação,Ciência da Comunicação
20,Estudo de processos de envelhecimento,Gerontologia
21,Desenvolvimento de novas técnicas cirúrgicas,Medicina
22,Análise de dados de impacto ambiental,Meio Ambiente
23,Estudo de comportamentos sociais,Sociologia
24,Investigação de novos métodos de aprendizagem,Psicologia
25,Estudo de tecnologia de reconhecimento facial,Ciência da Computação
26,Desenvolvimento de novos alimentos funcionais,Nutrição
27,Análise de dados de mercado financeiro,Economia
28,Estudo de processos de inteligência e cognição,Psicologia
0,Estudo da variabilidade climática e suas influências no ecossistema marinho,Oceanografia
1,Análise da expansão urbana e seus impactos no meio ambiente,Geografia Ambiental
2,Estudo da relação entre mudanças climáticas e a ocorrência de desastres naturais,Desastres Naturais
3,Desenvolvimento de novas tecnologias para preservação da biodiversidade,Conservação da Natureza
4,Análise da influência do comportamento humano na qualidade do ar,Poluição do Ar
5,Efeito da poluição sonora na saúde física e mental das populações urbanas,Poluição Sonora
6,Estudo sobre os impactos da mineração no meio ambiente,Mineração
7,Desenvolvimento de tecnologias sustentáveis para o tratamento de resíduos sólidos,Gestão de Resíduos
8,Análise da influência do clima na produtividade agrícola,Agricultura
9,Estudo da influência das mudanças climáticas na produção de energia renovável,Energia Renovável
10,Desenvolvimento de tecnologias para a redução do consumo de água nas indústrias,Uso da Água na Indústria
11,Estudo da relação entre o uso de agrotóxicos e a saúde humana,Agrotóxicos
12,Análise do impacto do turismo na preservação ambiental,Turismo Sustentável
13,Estudo sobre a influência do aquecimento global no derretimento das geleiras,Geleiras
14,Desenvolvimento de tecnologias para a extração sustentável de recursos naturais,Extração de Recursos
15,Análise da influência do uso de combustíveis fósseis na qualidade do ar,Combustíveis Fósseis
16,Estudo sobre as causas e consequências das mudanças climáticas no mundo,Mudanças Climáticas
17,Desenvolvimento de tecnologias para a produção sustentável de alimentos,Produção de Alimentos
18,Análise da influência do uso de plásticos na qualidade do meio ambiente,Poluição por Plásticos
19,Estudo sobre a influência da atividade humana na degradação do solo,Degradação do Solo
0,O impacto do aquecimento global na biodiversidade,Ecologia
1,A poluição do ar e as consequências para a saúde humana,Saúde pública
2,A recuperação de áreas desmatadas através de técnicas de plantio eucalipto,Agricultura
3,O impacto das mudanças climáticas nas ilhas e no litoral,Oceanografia
4,A transmissão de doenças pela água e medidas de prevenção,Engenharia ambiental
5,A relação entre a atividade sísmica e a exploração de água subterrânea,Geologia
6,A modelagem de sistemas complexos com o uso de inteligência artificial,Ciência da computação
7,A análise de dados orbitais para prever desastres naturais,Astronomia
8,A descoberta de novas fontes de energia a partir de materiais sintéticos,Química
9,O uso de drones na monitoração de habitats naturais,Engenharia elétrica
10,A previsão de epidemias através do uso de redes sociais,Informática biomédica
11,A análise de dados sísmicos para prospectar reservatórios de petróleo,Geofísica
12,A mineração de dados em plataformas de ensino à distância,Educação a distância
13,A criação de um sistema de energia renovável para áreas remotas,Energias renováveis
14,A análise do comportamento sísmico de estruturas de concreto armado,Engenharia civil
15,A investigação de materiais para a construção de estruturas mais duráveis,Materiais de construção
16,A pesquisa de plantas medicinais da Amazônia e seus efeitos terapêuticos,Botânica
17,A modelagem do processo de eutrofização de rios e lagos,Engenharia sanitária
18,A previsão de enchentes e deslizamentos de terra utilizando sensores remotos,Sensoriamento remoto
19,A pesquisa de novas técnicas para preservação de alimentos,Alimentação
20,A investigação de micro-organismos em solos para produção de biocombustíveis,Microbiologia
21,A análise de dados climatológicos para o planejamento urbano,Planejamento urbano
22,A investigação do comportamento humano em situações de risco ambiental,Psicologia ambiental
23,A descoberta de novas substâncias para a produção de medicamentos,Farmacologia
24,A análise da ação do fogo em áreas de vegetação nativa,Ecologia de incêndios florestais
25,A utilização de tecnologias sustentáveis em projetos de construção urbana,Engenharia ambiental urbana
26,A investigação sobre a poluição sonora e seus efeitos na saúde pública,Acústica
27,A pesquisa de técnicas de controle de pragas em áreas rurais,Entomologia agrícola
28,A modelagem do processo de erosão em encostas,Geotecnia
0,Monitoramento de desmatamento na Amazônia,Meio Ambiente
1,Estudo da biodiversidade nos oceanos,Biologia Marinha
2,Avanços em nanotecnologia para a medicina,Medicina
3,Análise de impactos ambientais na indústria,Engenharia Ambiental
4,Exploração de novos materiais para construção civil,Engenharia Civil
5,Modelagem de previsão do tempo para agricultura,Meteorologia
6,Desenvolvimento de novas fontes de energia renovável,Energia Renovável
7,Estudo da dinâmica das mudanças climáticas,Climatologia
8,Análise de dados genéticos para prevenção de doenças,Genética
9,Estudo de novas tecnologias para purificação de água,Engenharia Sanitária
10,Modelagem de crises climáticas globais,Climatologia
11,Desenvolvimento de novos fármacos antitumorais,Oncologia
12,Novas tecnologias em intervenção cardíaca,Cardiologia
13,Análise de dados de prevenção de epidemias,Saúde Pública
14,Monitoramento de terremotos com Big Data,Geologia
15,Desenvolvimento de tecnologias para coleta de lixo espacial,Engenharia Aeronáutica
16,Estudo da dinâmica de populações de animais ameaçados de extinção,Conservação da Fauna
17,Análise de impactos ambientais em hidrelétricas,Engenharia Ambiental
18,Modelagem de previsão de crescimento econômico,Economia
19,Desenvolvimento de tecnologias para tratamento de resíduos químicos,Química Ambiental
20,Estudo da dinâmica de materiais em ambientes de microgravidade,Física
21,Análise de causas de acidentes aéreos,Engenharia Aeronáutica
22,Desenvolvimento de tecnologias para tratamento de águas residuais,Engenharia Sanitária
23,Modelagem de políticas públicas para redução da pobreza,Ciência Política
24,Estudo da formação de novas estrelas e galáxias,Astronomia
25,Análise de práticas de ensino em escolas públicas,Educação
26,Desenvolvimento de materiais mais resistentes para aeronaves,Engenharia Aeronáutica
27,Estudo da eficácia de vacinas,Imunologia
28,Análise de impactos ambientais em indústrias de mineração,Engenharia Ambiental
29,Desenvolvimento de tecnologias sustentáveis para transporte,Engenharia de Transportes
30,Modelagem de previsão de terremotos,Geologia
31,Estudo de novas tecnologias para combate a incêndios florestais,Engenharia Florestal
32,Análise de políticas públicas para a redução de violência,Ciência Política
33,Desenvolvimento de técnicas de produção sustentável de alimentos,Agricultura Sustentável
34,Estudo de novos materiais para aparelhos eletrônicos,Eletrônica
35,Análise da eficácia de tratamentos contra o câncer,Oncologia
36,Desenvolvimento de tecnologias de armazenamento de energia,Energia
37,Modelagem de previsão de enchentes em áreas urbanas,Engenharia Hidráulica
38,Estudo de dinâmica populacional na África,Demografia
39,Análise de impactos ambientais em rodovias,Engenharia de Transportes
40,Desenvolvimento de materiais mais resistentes para aplicação em navios,Engenharia Naval
41,Modelagem de previsão de epidemias de doenças respiratórias,Epidemiologia
