code_projeto,titulo,area,horas,data_Inicio,data_Fim,code_financiamento,costo,code_regiao
AcR4744,"Conscientização sobre o consumo consciente e produção responsável em comunidades migrantes","Consumo Consciente",816,2022-12-28,2023-02-23,A,52156,4
AcS4700,Criptografia,"Segurança da Informação",1057,2020-06-25,2020-10-20,A,89482,1
Acss2231,"Criação de um jogo educativo na web com HTML5 e JavaScript",Tecnologia,1500,2018-01-08,2018-06-16,A,68333,2
AcX4594,"Conservação da biodiversidade terrestre e desenvolvimento do ecoturismo em áreas com alta concentração de migrantes",Ecoturismo,1137,2020-10-06,2020-12-18,A,78004,1
AcY1670,"Conservação da biodiversidade marinha e costeira em áreas quilombolas","Conservação Marinha",1297,2018-07-25,2018-12-26,A,57919,4
AdA2148,"Desenvolvimento de novas fontes de energia renovável","Energia Renovável",679,2021-03-02,2021-04-30,A,72719,1
Adaa3991,"Desenvolvimento de tecnologias sustentáveis para a agricultura",Agricultura,1063,2021-04-06,2021-09-26,A,77942,2
Adaa4100,"Desenvolvimento de novas técnicas de monitoramento de populações de espécies ameaçadas","Biologia da conservação",602,2022-03-09,2022-05-29,A,56135,5
AdD1867,"Desenvolvimento de tecnologias para a produção de biofertilizantes a partir de resíduos orgânicos","Engenharia agrícola",703,2019-01-29,2019-04-16,A,84471,3
Addd4095,"Desenvolvimento de Novas Medicações para o Tratamento de Doenças Cardiovasculares",Farmacologia,1181,2018-03-05,2018-04-12,A,76510,5
Adee4661,"Desenvolvimento de tecnologias inovadoras para a indústria sustentável em áreas quilombolas","Indústria Sustentável",409,2020-06-28,2020-11-28,A,90060,3
AdF4826,"Desenvolvimento de novas técnicas cirúrgicas",Medicina,1126,2022-08-17,2022-10-08,A,52568,4
AdG3332,"Desenvolvimento de políticas públicas para a promoção da igualdade social","Políticas Públicas",818,2018-12-10,2019-01-08,A,72913,5
Adgg548,"Desenvolvimento de tecnologias para a conservação da água","Recursos Hídricos",1039,2021-10-02,2021-12-29,A,81347,2
AdH3858,"Detecção de ceratocone através de perfil paquimétrico horizontal com inteligência artificial",Tecnologia,823,2022-06-09,2022-08-08,A,90956,2
Adhh1678,"Desenvolvimento de tecnologias para a gestão de resíduos sólidos","Meio Ambiente",1450,2021-07-21,2021-10-09,A,94243,3
Adhh3563,"Desenvolvimento de tecnologias para o transporte coletivo não poluente",Transporte,354,2022-09-25,2022-11-17,A,93928,5
AdI2914,"Desenvolvimento de tecnologias para a produção de alimentos em ambientes urbanos","Engenharia agrícola",644,2022-11-08,2023-02-28,A,84613,2
AdI482,"Desenvolvimento de novas técnicas de aproveitamento de resíduos orgânicos na produção de biocombustíveis",Bioquímica,768,2020-02-08,2020-07-04,A,99837,1
AdI734,"Desenvolvimento de programas para a inclusão social de migrantes",Inclusão,461,2022-08-27,2022-10-04,A,66562,3
Adii1060,"Desenvolvimento de fontes de energia renovável e acessível","Energia Renovável",616,2022-01-05,2022-05-12,A,81661,2
Adii3158,"Desenvolvimento de políticas públicas para a promoção da agricultura familiar","Políticas Públicas",534,2019-08-11,2019-12-11,A,97152,1
AdK2152,"Desenvolvimento de parcerias para a promoção dos direitos das pessoas LGBTQIA+",Inclusão,646,2022-12-25,2023-03-30,A,50483,1
Adkk1501,"Desenvolvimento de sistemas robóticos inteligentes","Ciência da Computação",1303,2021-09-26,2021-12-03,A,69322,5
Adkk2623,"Desenvolvimento de tecnologias para a gestão de recursos hídricos","Recursos Hídricos",628,2018-08-06,2018-09-29,A,96783,3
AdL884,"Desenvolvimento de políticas públicas para a promoção dos direitos das pessoas LGBTQIA+","Políticas Públicas",366,2021-05-16,2021-06-23,A,91000,3
Adll2063,"Desenvolvimento de tecnologias para a gestão de resíduos de construção civil","Engenharia ambiental",1190,2021-02-10,2021-05-08,A,74931,3
AdM2429,"Desenvolvimento de fontes de energia renovável e acessível para comunidades migrantes LGBTQIA+","Energia Renovável",874,2020-02-11,2020-06-12,A,95697,4
AdM3047,"Desenvolvimento de tecnologias para produção de materiais de construção sustentáveis","Engenharia civil",1142,2022-09-24,2023-01-30,A,96619,5
Admm1028,"Desenvolvimento de tecnologias para a produção de etanol a partir de resíduos da agroindústria","Engenharia química",1296,2021-07-22,2021-09-30,A,73224,3
Admm1116,"Desenvolvimento de tecnologias para a produção sustentável de alimentos",Agricultura,654,2018-11-07,2018-12-31,A,89309,3
Admm1306,"Desenvolvimento de novas técnicas de produção de alimentos utilizando tecnologia de precisão","Engenharia agrícola",458,2022-03-16,2022-08-11,A,69971,2
AdN3685,"Desenvolvimento de tecnologias para a prevenção e tratamento de doenças crônicas",Saúde,1058,2020-04-09,2020-05-01,A,65731,5
Adnn1145,"Desenvolvimento de programas para a prevenção do trabalho infantil","Políticas Públicas",595,2018-04-23,2018-09-20,A,72818,1
Adnn3886,"Desenvolvimento de programas para a promoção da educação inclusiva",Educação,1154,2021-09-19,2022-02-28,A,59683,1
AdO2960,"Desenvolvimento de tecnologias para a gestão de resíduos líquidos","Meio Ambiente",491,2019-06-07,2019-07-31,A,60536,1
AdO4205,"Desenvolvimento de tecnologias para a produção de energia renovável",Energia,1237,2020-03-29,2020-07-28,A,68652,1
AdO4414,"Desenvolvimento de fontes de energia renovável e acessível para comunidades migrantes LGBTQIA+","Energia Renovável",927,2019-04-24,2019-08-17,A,87424,2
Adoo4865,"Desenvolvimento de programas para a integração cultural de migrantes LGBTQIA+",Inclusão,762,2021-03-11,2021-05-28,A,66765,2
AdP2185,"Desenvolvimento de Novos Materiais para Energias Renováveis","Engenharia de Materiais",1395,2019-01-12,2019-03-25,A,51062,2
AdP3770,"Desenvolvimento de sistemas de inteligência artificial para a indústria","Ciência da Computação",631,2019-07-14,2019-12-31,A,91842,1
Adpp3427,"Desenvolvimento de vacinas eficazes contra COVID-19",Imunologia,1368,2019-02-04,2019-04-10,A,74866,4
AdQ3486,"Desenvolvimento de tecnologias para a produção de biocombustíveis a partir de resíduos urbanos","Engenharia química",1063,2018-06-12,2018-10-21,A,62916,1
AdQ4464,"Desenvolvimento de novos materiais para captura de CO2",Química,1084,2022-06-03,2022-08-05,A,99237,5
AdR2682,"Desenvolvimento de técnicas de produção sustentável de alimentos","Agricultura Sustentável",1145,2018-12-20,2019-02-09,A,88629,5
AdS3568,"Desenvolvimento de parcerias para a promoção do desenvolvimento sustentável em áreas quilombolas","Políticas Públicas",968,2021-01-04,2021-04-25,A,89768,5
AdS4432,"Desenvolvimento de modelos de previsão de terremotos por meio de aprendizado de máquina",Geologia,1395,2022-12-19,2023-02-04,A,50539,3
Adss4312,"Desenvolvimento de fontes de energia renovável e acessível para comunidades quilombolas","Energia Renovável",1291,2022-07-19,2022-12-14,A,79635,3
Adss4703,"Desenvolvimento de um sistema web para gestão de projetos acadêmicos",Tecnologia,503,2018-11-05,2019-03-16,A,69348,4
Adss690,"Desenvolvimento de tecnologias para a produção agroflorestal",Agricultura,537,2019-05-12,2019-10-18,A,99554,2
AdT1206,"Desenvolvimento de tecnologias inovadoras para a indústria sustentável em áreas carentes","Indústria Sustentável",1312,2022-02-09,2022-03-09,A,70628,3
AdU3921,"Desenvolvimento de tecnologias sustentáveis para transporte","Engenharia de Transportes",757,2022-06-07,2022-09-03,A,68298,4
Aduu2686,"Desenvolvimento de tecnologias para a produção de energia hidrelétrica em rios de pequeno porte","Engenharia elétrica",469,2018-12-21,2019-02-13,A,75882,3
Aduu3617,"Densidade de semeadura e a produção de aveia com inteligência artificial",Tecnologia,620,2021-11-10,2022-02-28,A,82343,5
Aduu3630,"Desenvolvimento de células solares eficientes","Engenharia de Materiais",380,2020-11-09,2020-12-08,A,86037,2
AdV1342,"Desenvolvimento de tecnologia de transporte sustentável",Engenharia,1371,2019-03-24,2019-07-24,A,91850,3
AdV3563,"Desenvolvimento de políticas públicas para a promoção da educação de qualidade","Políticas Públicas",875,2019-06-21,2019-10-17,A,91957,4
AdW555,"Desenvolvimento de tecnologias para a recuperação de áreas degradadas","Meio Ambiente",621,2020-02-14,2020-03-04,A,59788,4
Adww1420,"Desenvolvimento de soluções tecnológicas para a prevenção de desastres naturais",Geologia,886,2019-04-16,2019-06-29,A,60014,4
AdX3618,"Desenvolvimento de tecnologias para a produção de alimentos em áreas semiáridas","Engenharia agrícola",444,2022-07-04,2022-10-13,A,83117,4
AdY1397,"Desenvolvimento de novos alimentos funcionais",Nutrição,695,2019-04-08,2019-06-02,A,70789,5
AdY4108,"Desenvolvimento de novos materiais para construção sustentável","Engenharia civil",948,2019-03-08,2019-08-19,A,57405,1
Adyy2463,"Desenvolvimento de novas tecnologias para transporte sustentável",Transporte,989,2021-01-29,2021-03-29,A,96894,3
AdZ3712,"Desenvolvimento de novas técnicas de tratamento de água em áreas rurais","Engenharia ambiental",1477,2018-02-01,2018-07-16,A,90376,3
Adza2589,"Data Science e Machine Learning",Tecnologia,816,2019-03-10,2019-06-25,A,86130,5
AeA608,"Estudo da Evolução das Bactérias na Era Pós-Antibióticos",Microbiologia,747,2018-04-26,2018-08-24,A,55639,1
AeB1518,"Estudo da relação entre a degradação das florestas e a segurança alimentar",Agroecologia,454,2021-07-29,2021-09-14,A,85382,5
AeB2212,"Estudo sobre a relação entre desigualdade social e acesso à saúde",Sociologia,788,2018-06-04,2018-08-08,A,96460,1
AeB4998,"Estudo sobre a utilização de drones em trabalhos de mapeamento",Tecnologia,1434,2020-01-18,2020-03-12,A,83700,5
AeC4250,"Estudo da Relação entre Hormônios e Câncer de Mama","Biologia Molecular",764,2020-05-28,2020-08-27,A,54533,5
Aecc622,"Estudo da relação entre a degradação das florestas e a ocorrência de desastres naturais","Ecologia de paisagem",839,2020-10-15,2020-12-19,A,75294,1
AeD2175,"Estudo da formação de novas estrelas e galáxias",Astronomia,1348,2018-01-01,2018-02-15,A,50179,5
AeD837,"Estudo sobre a influência das redes sociais na formação da opinião pública",Comunicação,1142,2019-07-09,2019-10-27,A,66841,5
Aedd4413,"Estudo de Antropologia Biológica",Antropologia,875,2021-06-06,2021-11-24,A,58473,1
AeE465,"Estudos de dinâmica populacional de espécies marinhas",Oceanografia,669,2021-10-25,2022-01-12,A,94164,5
Aeee2011,"Estudos de impacto ambiental de usinas hidroelétricas","Engenharia Ambiental",404,2020-10-29,2020-12-28,A,92732,4
Aeee3166,"Educação em cidadania para a promoção da participação social",Educação,353,2018-03-27,2018-07-12,A,84680,4
Aeee4762,"Estudo sobre a utilização de veículos elétricos em áreas urbanas",Sustentabilidade,777,2021-04-15,2021-05-01,A,83992,2
Aeee719,"Engenharia Ambiental e Química","Engenharia Ambiental",1161,2022-06-08,2022-11-27,A,99101,2
AeF3150,"Educação inclusiva para crianças em situação de vulnerabilidade",Educação,1329,2022-07-05,2022-12-01,A,59460,3
AeF3778,"Educação em saúde para a promoção da qualidade de vida",Educação,991,2022-02-20,2022-03-07,A,97823,3
AeF4031,"Estudo de Ecologia de Paisagem",Ecologia,456,2022-08-11,2023-01-26,A,75431,1
Aeff3832,"Estudo da Física Quântica Aplicada à Computação",Física,748,2020-05-01,2020-08-29,A,50563,2
AeG2985,"Estudo da relação entre o nível do mar e a mudança climática",Oceanografia,1079,2018-02-26,2018-07-27,A,88004,4
AeG3370,"Estudo de comportamentos sociais",Sociologia,1314,2021-09-05,2021-10-01,A,52507,1
AeG4133,"Estudos de impacto ambiental de construções","Engenharia Ambiental",502,2018-01-27,2018-03-19,A,97719,2
Aegg1159,"Estudo de comportamento dos animais em cativeiro",Zoologia,1483,2021-09-01,2022-02-18,A,70818,2
Aegg1592,"Estudos de anatomia e fisiologia de animais selvagens",Zoologia,351,2018-07-23,2018-12-12,A,79165,1
Aegg2418,"Estudos sobre a Ecologia de Paisagens Urbanas",Ecologia,1201,2018-10-29,2018-11-08,A,76568,1
Aehh1734,"Estudo de Economia Comportamental",Economia,1335,2022-05-16,2022-09-11,A,60139,3
Aehh801,"Estudo de efeitos climáticos",Geografia,1199,2020-02-15,2020-03-12,A,72449,3
Aeii2109,"Estudo sobre a utilização de tecnologias de inteligência artificial na previsão de desastres naturais",Tecnologia,1173,2022-03-18,2022-07-08,A,76486,1
Aeii4237,"Exploração de novos planetas habitáveis",Astronomia,834,2019-05-16,2019-10-12,A,98499,3
AeJ1126,"Estudo da Biologia de Plantas Medicinais para Desenvolvimento de Fármacos",Farmacologia,346,2018-11-08,2018-12-17,A,97106,3
AeJ2753,"Estudo do impacto de atividades econômicas em comunidades tradicionais",Antropologia,1305,2018-11-29,2019-04-04,A,62532,1
AeJ2954,"Estudo dos Comportamentos Emergentes em Sistemas Sociais Complexos",Sociologia,1011,2021-04-30,2021-08-13,A,55568,4
AeJ4287,"Estudo da relação entre o nível do mar e a mudança climática",Oceanografia,947,2020-06-04,2020-08-17,A,61042,1
Aejj2286,"Estudo sobre o impacto da globalização na cultura local",Cultura,1225,2018-03-03,2018-04-09,A,60893,5
Aejj2828,"Estudo sobre os efeitos da alimentação na saúde intestinal",Saúde,513,2018-06-28,2018-11-04,A,71430,3
AeK4546,"Entrega de pizza em carro autônomo",Tecnologia,619,2020-06-22,2020-10-01,A,78450,3
AeK769,"Estudo da dinâmica de materiais em ambientes de microgravidade",Física,1198,2018-04-21,2018-06-08,A,98688,3
AeL3535,"Estudo da genética de populações para a conservação de espécies ameaçadas",Biologia,551,2020-09-16,2020-11-28,A,88941,2
Aell2209,"Economia circular: redução de resíduos e aproveitamento de recursos",Economia,1256,2020-01-28,2020-04-12,A,76485,1
Aell2920,"Estudo do impacto das mudanças climáticas na distribuição geográfica de espécies animais","Biologia da conservação",1006,2022-08-03,2022-12-28,A,93395,3
AeM4153,"Estudo de Oceanografia",Oceanografia,1185,2019-03-19,2019-05-01,A,64978,4
AeM4284,"Estudo do impacto das mudanças climáticas na produção de energia hidrelétrica no Brasil","Engenharia elétrica",1379,2022-11-28,2023-01-22,A,61142,1
AeM88,"Estudo sobre o impacto da indústria cultural na formação da identidade juvenil",Cultura,424,2019-03-16,2019-04-26,A,55548,1
AeN1659,"Estudos de ocorrência de tsunamis em regiões costeiras",Oceanografia,591,2022-12-09,2023-05-16,A,67910,1
AeO2530,"Estudo sobre a utilização de robôs na construção civil",Tecnologia,978,2018-01-10,2018-06-22,A,73683,3
AeO3598,"Estudo sobre o impacto das mudanças climáticas na biodiversidade","Meio Ambiente",1161,2020-09-03,2020-11-08,A,64472,5
AeO842,"Estudo de Biologia Evolutiva",Biologia,707,2022-01-21,2022-02-10,A,52576,2
Aeoo1520,"Estudo de Biologia Computacional",Biologia,367,2018-10-09,2019-01-14,A,56412,2
AeP4374,"Estudo da variabilidade climática e suas influências no ecossistema marinho",Oceanografia,1028,2022-12-23,2023-04-08,A,82846,3
AeQ652,"Estudo da anatomia humana",Medicina,434,2022-03-06,2022-04-04,A,97786,2
AeR692,"Estudos de diversidade de animais marinhos na costa brasileira",Oceanografia,689,2018-09-29,2019-01-16,A,98597,1
Aerr2074,"Estudo sobre a utilização de tecnologias de realidade virtual na educação",Tecnologia,1377,2019-08-13,2020-01-06,A,94284,1
Aerr3401,"Estudo do impacto da mineração em áreas rurais na qualidade da água","Ecologia de paisagem",317,2021-05-22,2021-10-06,A,84496,1
AeS103,"Estudos de ecologia de zonas úmidas em diferentes partes do mundo",Ecologia,664,2022-05-07,2022-10-24,A,90685,5
AeT1961,"Educação empreendedora para jovens em situação de vulnerabilidade",Educação,1157,2018-11-09,2019-01-17,A,99633,3
AeT64,"Estudo da relação entre a biodiversidade e a segurança alimentar",Agroecologia,1188,2021-04-06,2021-05-27,A,77500,4
AeU4820,"Estudo de tecnologia de reconhecimento facial","Ciência da Computação",956,2022-08-19,2022-11-14,A,99993,1
Aeuu4405,"Estudo de Ciência do Solo",Agricultura,748,2018-05-23,2018-09-14,A,79039,3
Aeuu73,"Erradicação da pobreza e redução das desigualdades",Sociologia,1002,2019-09-09,2019-12-08,A,89902,4
AeV3735,"Estudo do impacto das mudanças climáticas na biodiversidade terrestre brasileira","Biologia da conservação",962,2020-02-25,2020-07-30,A,95729,1
AeW513,"Estudo sobre a utilização de energias renováveis em transportes",Sustentabilidade,857,2020-01-25,2020-02-24,A,90791,3
Aeww1802,"Educação em tecnologia para a inclusão digital",Educação,1146,2020-11-27,2021-04-15,A,79899,3
Aexx2540,"Estudo da Relação Entre Alimentação e Desenvolvimento Cognitivo em Crianças",Nutrição,907,2018-09-26,2018-11-17,A,94995,1
Aeyy1435,"Estudo sobre a aplicação de tecnologias de inteligência artificial na detecção precoce de doenças oftalmológicas",Tecnologia,837,2022-02-26,2022-03-16,A,88557,1
Aeyy2825,"Estudo da biodiversidade da Amazônia",Biologia,1439,2018-06-15,2018-07-14,A,59050,2
AeZ4494,"Educação e Tecnologia",Educação,800,2021-11-22,2021-12-19,A,98631,1
AeZ810,"Estudo sobre a aplicação de tecnologias de inteligência artificial na detecção precoce de doenças",Tecnologia,1161,2019-07-19,2019-09-18,A,75835,1
Aeza2999,"Estudo do impacto da urbanização na diversidade de espécies vegetais em áreas urbanas","Ecologia de paisagem",1344,2018-01-01,2018-03-28,A,87689,2
Aeza635,"Entendendo a dinâmica dos oceanos",Oceanografia,935,2019-04-07,2019-09-26,A,84144,1
AfQ1736,"Fast-food automatizado",Tecnologia,1398,2021-08-07,2022-01-09,A,82539,5
AgD4514,"Garantia de acesso à moradia digna para pessoas em situação de pobreza","Moradia Digna",905,2020-08-05,2020-12-17,A,85318,5
AgH2764,"Genome Editing: A Boon in Medical Science",Genética,871,2018-06-13,2018-10-04,A,51333,5
Agmm2652,"Garantia de acesso à educação de qualidade para todas as crianças",Educação,463,2019-04-02,2019-07-31,A,92912,2
Agmm4288,"Gatos robóticos para idosos",Tecnologia,417,2021-03-30,2021-06-06,A,76199,4
Agnn436,"Garantia de acesso à água potável e saneamento básico para comunidades carentes","Saneamento Básico",1308,2022-05-29,2022-10-11,A,74612,5
Agvv2994,"Gatos robóticos para idosos",Tecnologia,348,2022-08-09,2023-01-18,A,56499,3
Agza3047,"Garantia de acesso à água potável e saneamento básico para comunidades quilombolas","Saneamento Básico",743,2022-09-24,2023-01-23,A,77502,3
AiA2345,"Investigação de novos métodos de aprendizagem",Psicologia,1364,2022-07-25,2022-11-17,A,76267,2
Aiaa487,"Investigação sobre a aplicação de inteligência artificial em sistemas de segurança",Tecnologia,828,2018-09-01,2018-11-01,A,81956,3
Aiab527,"Investigação de novos materiais para construção",Engenharia,518,2020-11-27,2021-02-21,A,51343,1
Aidd3084,"Investigação em Engenharia Civil",Engenharia,951,2018-11-25,2018-12-03,A,61931,2
Aidd3807,"Investigação em Segurança de Redes","Segurança da Informação",661,2021-03-14,2021-07-11,A,57078,3
AiE618,"Inclusão de pessoas com deficiência na escola e na sociedade",Inclusão,742,2022-01-03,2022-05-11,A,81590,2
AiF4452,"Inclusão de migrantes idosos LGBTQIA+ no mercado de trabalho","Inclusão no Mercado de Trabalho",978,2019-11-07,2020-04-17,A,53466,1
AiF4752,"Investigação em Energia Eólica",Energia,999,2022-04-29,2022-09-05,A,79766,3
AiF831,"Inclusão de migrantes idosos no mercado de trabalho","Inclusão no Mercado de Trabalho",1071,2018-11-15,2019-04-22,A,54365,2
Aiff4602,"Investigação sobre a utilização de células-tronco na regeneração de tecidos",Biologia/Medicina,420,2018-03-21,2018-05-25,A,53017,4
AiG794,"Inteligência artificial na medicina",Tecnologia,1204,2018-01-25,2018-04-02,A,68186,2
Aigg4013,"Investigação sobre a relação entre poluição sonora e qualidade de vida","Meio Ambiente",973,2022-03-30,2022-07-29,A,64876,3
AiJ1870,"Inclusão de pessoas LGBTQIA+ no mercado de trabalho",Inclusão,823,2022-03-27,2022-07-17,A,69874,3
AiJ4845,"Investigação em Engenharia de Controle de Qualidade",Engenharia,586,2019-02-22,2019-03-11,A,99136,4
AiL269,"Inclusão de jovens quilombolas no mercado de trabalho através do empreendedorismo",Empreendedorismo,586,2022-06-02,2022-10-21,A,96406,4
AiL3212,"Investigação de Medicina Personalizada",Medicina,1384,2018-03-15,2018-08-18,A,97886,2
Aill2840,"Investigação sobre a utilização de materiais avançados na produção de painéis solares",Engenharia,1413,2022-12-19,2023-01-25,A,95419,1
AiP488,"Inclusão de pessoas LGBTQIA+ no mercado de trabalho",Inclusão,739,2021-06-17,2021-10-27,A,81745,3
Aiqq1126,"Investigação em Materiais Avançados para Energia",Química,613,2021-05-23,2021-10-01,A,58249,5
Airr4481,"Inclusão de pequenos agricultores no mercado através do empreendedorismo",Empreendedorismo,593,2019-10-18,2019-12-04,A,52767,2
AiS1273,"Investigação de Biotecnologia",Biologia,461,2021-10-05,2021-11-23,A,75946,5
AiU3006,"Investigação de novos métodos de aprendizagem",Psicologia,870,2020-01-12,2020-03-14,A,50661,5
Aiuu1625,"Inteligência artificial é o futuro da humanidade",Tecnologia,435,2020-05-11,2020-10-01,A,59005,4
Aiuu2990,"Investigação sobre a utilização de técnicas de engenharia genética na produção de medicamentos",Biologia,598,2022-05-06,2022-07-08,A,89627,4
